NMR Identified	Name	SMILES	M	M+H	SiriusRank
449.1845943	Isomer of dihydrohelenalin 6-O-glucoside		426.194825	427.20265	n/a
307.2612997	Stearic acid	CCCCCCCCCCCCCCCCCC(=O)O	284.2715304	285.2793554	n/a
599.4287589	?-Sitosterol 3-O-glucoside	CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)C)C(C)C	576.4389896	577.4468146	n/a
597.4131089	Stigmasterol 3-O-glucoside	CC[C@H](/C=C/[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)C)C(C)C	574.4233396	575.4311646	n/a
319.2249142	9-Oxooctadec-10-enoic acid	CCCCCCCC=CC(=O)CCCCCCCC(=O)O	296.2351449	297.2429699	n/a
317.2092641	9-Oxo-10,12-octadecadienoic acid	CCCCC/C=C\C=C\C(=O)CCCCCCCC(=O)O	294.2194948	295.2273198	3
319.2249142	9-Hydroxy-10,12-octadecadienoic acid	CCCCC/C=C\C=C\C(CCCCCCCC(=O)O)O	296.2351449	297.2429699	n/a
329.1364931	Arnicolide A	C[C@@H]1C[C@@H]2[C@@H]([C@@H](C(=O)O2)C)[C@@H]([C@]3([C@H]1C=CC3=O)C)OC(=O)C	306.1467238	307.1545488	n/a
371.1834433	Microhelenin B	CCC(C)C(=O)O[C@H]1[C@@H]2[C@@H](C(=O)O[C@@H]2C[C@H]([C@H]3[C@]1(C(=O)C=C3)C)C)C	348.193674	349.201499	1
187.0371134	p-Coumaric acid	C1=CC(=CC=C1/C=C/C(=O)O)O	164.0473441	165.0551691	2
141.016378	Succinic acid	C(CC(=O)O)C(=O)O	118.0266087	119.0344337	n/a
112.0374477	Alanine	C[C@@H](C(=O)O)N	89.04767847	90.05550347	n/a
113.0214633	Lactic acid	CC(C(=O)O)O	90.03169405	91.03951905	n/a
305.2456496	Oleic acid	CCCCCCCC/C=C\CCCCCCCC(=O)O	282.2558803	283.2637053	n/a
301.2143495	?-Linolenic acid	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O	278.2245802	279.2324052	n/a
113.0214633	3-Hydroxypropanoic acid	C(CO)C(=O)O	90.03169405	91.03951905	n/a
135.0170467	Uracil	C1=CNC(=O)NC1=O	112.0272774	113.0351024	1
171.0269426	Apionolactone	C1[C@@]([C@H](C(=O)O1)O)(CO)O	148.0371734	149.0449984	n/a
143.032028	2,3-Dihydroxybutyric acid	CC(C(C(=O)O)O)O	120.0422587	121.0500837	n/a
485.0695953	Kaempferol 3-O-glucuronide	C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O	462.079826	463.087651	1
293.1001076	Benzyl glucopyranoside	C1=CC=C(C=C1)COC2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O	270.1103383	271.1181633	n/a
166.0480124	Methyl pyroglutamate	COC(=O)[C@@H]1CCC(=O)N1	143.0582431	144.0660681	1
517.09581	Patuletin 3-O-glucoside	COC1=C(C2=C(C=C1O)OC(=C(C2=O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C4=CC(=C(C=C4)O)O)O	494.1060408	495.1138658	5
341.0518372	Glyceryl sulfoquinovoside	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OCC(CO)O)O)O)O)S(=O)(=O)O	318.0620679	319.0698929	n/a
306.0814378	Guanosine	C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=C(NC2=O)N	283.0916685	284.0994935	1
